defect_id,layer,recommended_catch_point,table,column,row_key,defect_family,defect_type,good_value,bad_value,how_it_breaks_conversational_bi
DFT-001,Silver,Silver DQ gate,silver_dim_supplier,country,SUP-001,E - Inconsistent encoding,Inconsistent categorical encoding,United States,USA,Suppliers-by-country grouping splits US into 3 buckets
DFT-002,Silver,Silver DQ gate,silver_dim_supplier,country,SUP-002,E - Inconsistent encoding,Inconsistent categorical encoding,United States,U.S.A,Suppliers-by-country grouping splits US into 3 buckets
DFT-003,Silver,Silver DQ gate,silver_dim_supplier,country,SUP-007,E - Inconsistent encoding,Inconsistent categorical encoding,Spain,spain ,Suppliers-by-country grouping splits US into 3 buckets
DFT-004,Silver,Silver DQ gate,silver_dim_supplier,country,SUP-014,E - Inconsistent encoding,Inconsistent categorical encoding,Germany,DE,Suppliers-by-country grouping splits US into 3 buckets
DFT-005,Silver,Silver DQ gate,silver_dim_supplier,supplier_name,SUP-005,E - Inconsistent encoding,Leading/trailing whitespace,GreenCullet Recycling, GreenCullet Recycling,Name joins/filters miss the row
DFT-006,Silver,Silver dedup/MDM,silver_dim_supplier,supplier_id,SUP-009,D - Duplicate/contradictory,"Duplicate key, contradictory attributes",Approved/High,Preferred/Low (2nd row),Risk & tier questions conflict; joins fan-out & double count
DFT-007,Silver,Silver MDM (entity resolution),silver_dim_supplier,supplier_id,SUP-002/SUP-902,F - Functional/semantic,"Semantic duplicate entity (two IDs, one supplier)",single supplier,split across SUP-002 & SUP-902,True spend/perf for Great Lakes split in half -> undercount
DFT-008,Silver,Silver DQ gate,silver_dim_supplier,supplier_name,SUP-013,C - Missing data,Missing value,Sahara Sand Trading FZE,<null>,Blank supplier in rankings
DFT-009,Silver,Silver DQ gate,silver_dim_material,commodity,MAT-102,E - Inconsistent encoding,Inconsistent casing/spacing,Soda Ash,soda ash,Spend-by-commodity splits Soda Ash/soda ash
DFT-010,Silver,Silver DQ gate,silver_dim_material,commodity,MAT-105,E - Inconsistent encoding,Inconsistent casing/spacing,Cullet,CULLET,Spend-by-commodity splits Soda Ash/soda ash
DFT-011,Silver,Silver DQ gate,silver_dim_material,commodity,MAT-101,E - Inconsistent encoding,Inconsistent casing/spacing,Silica Sand,Silica  Sand,Spend-by-commodity splits Soda Ash/soda ash
DFT-012,Silver,Silver DQ gate,silver_dim_material,standard_price_usd,MAT-107,A - Value defects,Negative price,145,-145,PPV/spend go negative for coatings
DFT-013,Silver,Silver DQ gate,silver_dim_material,unit_of_measure,MAT-110,C - Missing data,Missing UoM,KG,<null>,Quantity roll-ups mix units
DFT-014,Silver,Silver DQ gate,silver_dim_plant,country,PLT-05,E - Inconsistent encoding,Inconsistent encoding,United Kingdom,UK,Plants-by-country splits UK
DFT-015,Silver,Silver DQ gate,silver_dim_plant,region,PLT-06,C - Missing data,Missing region,Europe,<null>,By-region grouping drops a plant
DFT-016,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1444,A - Value defects,Negative quantity,595,-595,SUM(order_qty) understated
DFT-017,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1344,A - Value defects,Negative quantity,503,-503,SUM(order_qty) understated
DFT-018,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1047,A - Value defects,Negative quantity,80,-80,SUM(order_qty) understated
DFT-019,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1067,A - Value defects,Negative quantity,368,-368,SUM(order_qty) understated
DFT-020,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1363,A - Value defects,Negative quantity,880,-880,SUM(order_qty) understated
DFT-021,Silver,Silver DQ gate,silver_purchase_order_lines,order_qty,PO-1132,A - Value defects,Negative quantity,410,-410,SUM(order_qty) understated
DFT-022,Silver,Silver DQ gate,silver_purchase_order_lines,promised_delivery_date,PO-1352,A - Value defects,Promised precedes order,2025-10-24,2024-12-01,Negative lead times
DFT-023,Silver,Silver DQ gate,silver_purchase_order_lines,promised_delivery_date,PO-1297,A - Value defects,Promised precedes order,2025-09-12,2024-12-01,Negative lead times
DFT-024,Silver,Silver DQ gate,silver_purchase_order_lines,promised_delivery_date,PO-1300,A - Value defects,Promised precedes order,2025-08-22,2024-12-01,Negative lead times
DFT-025,Silver,Silver DQ gate,silver_purchase_order_lines,promised_delivery_date,PO-1423,A - Value defects,Promised precedes order,2025-10-28,2024-12-01,Negative lead times
DFT-026,Silver,Silver DQ gate,silver_purchase_order_lines,promised_delivery_date,PO-1321,A - Value defects,Promised precedes order,2025-09-17,2024-12-01,Negative lead times
DFT-027,Silver,Silver DQ gate,silver_purchase_order_lines,unit_price_usd,PO-1016,A - Value defects,Text in numeric,30.74,TBD,AVG price / spend fails or drops rows
DFT-028,Silver,Silver DQ gate,silver_purchase_order_lines,unit_price_usd,PO-1080,A - Value defects,Text in numeric,42.07,TBD,AVG price / spend fails or drops rows
DFT-029,Silver,Silver DQ gate,silver_purchase_order_lines,unit_price_usd,PO-1185,A - Value defects,Text in numeric,56.17,TBD,AVG price / spend fails or drops rows
DFT-030,Silver,Silver DQ gate,silver_purchase_order_lines,unit_price_usd,PO-1327,A - Value defects,Text in numeric,21.84,TBD,AVG price / spend fails or drops rows
DFT-031,Silver,Silver DQ gate,silver_purchase_order_lines,unit_price_usd,PO-1419,A - Value defects,Text in numeric,21.88,TBD,AVG price / spend fails or drops rows
DFT-032,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1461,B - Orphan keys,Orphan FK (supplier),SUP-013,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-033,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1209,B - Orphan keys,Orphan FK (supplier),SUP-001,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-034,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1396,B - Orphan keys,Orphan FK (supplier),SUP-005,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-035,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1404,B - Orphan keys,Orphan FK (supplier),SUP-007,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-036,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1298,B - Orphan keys,Orphan FK (supplier),SUP-003,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-037,Silver,Silver referential integrity,silver_purchase_order_lines,supplier_id,PO-1346,B - Orphan keys,Orphan FK (supplier),SUP-004,SUP-777,Spend-by-supplier undercounts (join drops)
DFT-038,Silver,Silver referential integrity,silver_purchase_order_lines,material_id,PO-1507,B - Orphan keys,Orphan FK (material),MAT-104,MAT-999,Spend-by-commodity misses lines
DFT-039,Silver,Silver referential integrity,silver_purchase_order_lines,material_id,PO-1320,B - Orphan keys,Orphan FK (material),MAT-103,MAT-999,Spend-by-commodity misses lines
DFT-040,Silver,Silver referential integrity,silver_purchase_order_lines,material_id,PO-1474,B - Orphan keys,Orphan FK (material),MAT-104,MAT-999,Spend-by-commodity misses lines
DFT-041,Silver,Silver referential integrity,silver_purchase_order_lines,material_id,PO-1372,B - Orphan keys,Orphan FK (material),MAT-109,MAT-999,Spend-by-commodity misses lines
DFT-042,Silver,Silver referential integrity,silver_purchase_order_lines,material_id,PO-1328,B - Orphan keys,Orphan FK (material),MAT-109,MAT-999,Spend-by-commodity misses lines
DFT-043,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1259,C - Missing data,Missing grouping key,PLT-02,<null>,Spend-by-plant omits POs
DFT-044,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1349,C - Missing data,Missing grouping key,PLT-02,<null>,Spend-by-plant omits POs
DFT-045,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1143,C - Missing data,Missing grouping key,PLT-04,<null>,Spend-by-plant omits POs
DFT-046,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1109,C - Missing data,Missing grouping key,PLT-05,<null>,Spend-by-plant omits POs
DFT-047,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1444,C - Missing data,Missing grouping key,PLT-03,<null>,Spend-by-plant omits POs
DFT-048,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1013,C - Missing data,Missing grouping key,PLT-01,<null>,Spend-by-plant omits POs
DFT-049,Silver,Silver DQ gate,silver_purchase_order_lines,plant_id,PO-1413,C - Missing data,Missing grouping key,PLT-05,<null>,Spend-by-plant omits POs
DFT-050,Silver,Silver DQ gate,silver_purchase_order_lines,order_date,PO-1358,E - Inconsistent encoding,Mixed date format,2025-09-10,10-09-2025,Quarter/time filters misparse
